appendix_item,source_page,field,value,confidence,reason
1,9,label,Add task,93.87,item_number_not_confirmed
1,9,semantic_distance,2.08 -> 2.03,79.75,explicit_ocr_correction
1,9,semantic_distance,2.03,79.75,low_confidence
2,9,concreteness,2.27,73.12,low_confidence
2,9,familiarity,1.80 -> 1.93,64.76,explicit_ocr_correction
2,9,familiarity,1.93,64.76,low_confidence
2,9,name_agreement,7.50,78.50,low_confidence
3,9,complexity,1.55,72.24,low_confidence
3,9,meaningfulness,2938.00 -> 2.93,70.00,fallback_from:2938
3,9,meaningfulness,2.93,70.00,low_confidence
3,9,semantic_distance,2.50,71.13,low_confidence
4,9,concreteness,4.85,81.09,low_confidence
4,9,familiarity,1.75,64.83,low_confidence
4,9,semantic_distance,1.56,65.96,low_confidence
4,9,concept_agreement,0.00,78.47,low_confidence
5,9,concept_agreement,7.50,71.15,low_confidence
6,9,complexity,1.18,83.08,low_confidence
6,9,meaningfulness,2.65,67.29,low_confidence
6,9,semantic_distance,1.57,80.85,low_confidence
7,9,common_response,,94.99,missing_common_response
8,9,name_agreement,17.50,78.17,low_confidence
9,9,meaningfulness,2.28,70.00,low_confidence
9,9,semantic_distance,4.60,77.33,low_confidence
10,9,familiarity,1.98,67.15,low_confidence
10,9,meaningfulness,1.70,78.82,low_confidence
10,9,common_response,,95.81,missing_common_response
11,10,label,Arc ignition by contact,86.18,item_number_not_confirmed
11,10,complexity,2.37,80.33,low_confidence
11,10,meaningfulness,2.35,80.06,low_confidence
12,10,concreteness,2.15,81.68,low_confidence
14,10,complexity,2.73,82.85,low_confidence
14,10,familiarity,1.93,80.60,low_confidence
14,10,semantic_distance,1.39,84.18,low_confidence
15,10,complexity,1.25,69.07,low_confidence
15,10,familiarity,3.12,77.48,low_confidence
15,10,concept_agreement,40.00,65.38,low_confidence
15,10,common_response,,93.56,missing_common_response
16,10,familiarity,4.13,72.03,low_confidence
16,10,name_agreement,55.00,70.17,low_confidence
16,10,common_response,,83.29,missing_common_response
17,10,familiarity,2.60,81.20,low_confidence
17,10,common_response,,95.82,missing_common_response
18,10,concreteness,2.55,82.05,low_confidence
18,10,familiarity,1.65,68.29,low_confidence
19,10,concept_agreement,0.00,75.67,low_confidence
20,10,name_agreement,2.50,79.98,low_confidence
20,10,common_response,,0.00,missing_common_response
21,11,familiarity,2.45,84.22,low_confidence
21,11,common_response,,0.00,missing_common_response
22,11,meaningfulness,1.85,80.93,low_confidence
22,11,common_response,,0.00,missing_common_response
23,11,complexity,2.93,78.94,low_confidence
24,11,complexity,1.13,79.24,low_confidence
24,11,familiarity,4.33,83.70,low_confidence
24,11,semantic_distance,1.35,81.13,low_confidence
26,11,concreteness,2.12,80.26,low_confidence
26,11,familiarity,2.87,76.85,low_confidence
26,11,common_response,,90.79,missing_common_response
27,11,meaningfulness,1.95,83.43,low_confidence
28,11,complexity_metric,14 -> 11,70.00,fallback_from:14
28,11,common_response,,94.66,missing_common_response
29,11,meaningfulness,1.95,83.39,low_confidence
29,11,concept_agreement,17.50,70.00,low_confidence
29,11,common_response,,0.00,missing_common_response
30,11,concreteness,4.30,73.15,low_confidence
30,11,concept_agreement,22.50 -> 22.00,70.00,fallback_from:22.50
30,11,concept_agreement,22.00,70.00,low_confidence
30,11,common_response,,0.00,missing_common_response
31,12,concept_agreement,12.50,71.50,low_confidence
31,12,name_agreement,0.00 -> 90.00,70.00,fallback_from:$0.00
31,12,name_agreement,90.00,70.00,low_confidence
32,12,semantic_distance,2.10,73.11,low_confidence
33,12,label,CD-interactive,11.00,item_number_not_confirmed
33,12,name_agreement,17.50,72.51,low_confidence
34,12,complexity_metric,5 -> 2,70.00,fallback_from:5
35,12,complexity,2.55,74.28,low_confidence
35,12,semantic_distance,1.76,78.77,low_confidence
36,12,familiarity,3.58,75.18,low_confidence
37,12,familiarity,2.95,79.28,low_confidence
37,12,concept_agreement,42.50,62.96,low_confidence
37,12,common_response,,92.05,missing_common_response
38,12,meaningfulness,3.78,83.89,low_confidence
38,12,common_response,,95.15,missing_common_response
39,12,familiarity,4.45,79.68,low_confidence
39,12,semantic_distance,4.38,73.19,low_confidence
39,12,common_response,,0.00,missing_common_response
40,12,semantic_distance,41.90 -> 1.90,70.00,fallback_from:41.90
40,12,semantic_distance,1.90,70.00,low_confidence
40,12,common_response,,0.00,missing_common_response
41,13,concreteness,4.50,79.28,low_confidence
41,13,complexity,3.95,62.20,low_confidence
41,13,meaningfulness,4.10,84.76,low_confidence
42,13,semantic_distance,1.38,81.79,low_confidence
43,13,meaningfulness,1.57,78.02,low_confidence
45,13,complexity,2.38,75.71,low_confidence
46,13,concreteness,4.35,80.22,low_confidence
47,13,semantic_distance,2.55,77.90,low_confidence
48,13,semantic_distance,2.95,78.57,low_confidence
49,13,semantic_distance,1.81,68.18,low_confidence
50,13,concreteness,4.30,83.14,low_confidence
50,13,complexity,1.93,73.22,low_confidence
51,14,concreteness,3.55,72.36,low_confidence
51,14,complexity,4.23,82.96,low_confidence
51,14,name_agreement,65.00,75.42,low_confidence
52,14,familiarity,1.45,76.50,low_confidence
52,14,common_response,,0.00,missing_common_response
53,14,complexity,2.90,76.31,low_confidence
53,14,semantic_distance,3.34,74.84,low_confidence
53,14,concept_agreement,25.00,67.63,low_confidence
53,14,common_response,,0.00,missing_common_response
54,14,semantic_distance,1.55,68.03,low_confidence
55,14,concreteness,2.65,75.44,low_confidence
55,14,complexity,1.40,79.18,low_confidence
55,14,familiarity,2.45,81.90,low_confidence
55,14,semantic_distance,2.71,83.83,low_confidence
55,14,common_response,,92.42,missing_common_response
56,14,concreteness,1.00,69.22,low_confidence
56,14,familiarity,1.83,78.41,low_confidence
56,14,semantic_distance,4.17 -> 1.17,70.00,fallback_from:417
56,14,semantic_distance,1.17,70.00,low_confidence
57,14,concreteness,1.87,77.45,low_confidence
57,14,meaningfulness,1.38,78.97,low_confidence
57,14,common_response,,95.80,missing_common_response
58,14,concept_agreement,35.00,61.76,low_confidence
58,14,common_response,,92.60,missing_common_response
60,14,common_response,,0.00,missing_common_response
62,15,complexity,4.00,73.45,low_confidence
62,15,meaningfulness,3.55,76.02,low_confidence
63,15,label,D ebug,77.72,item_number_not_confirmed
63,15,concreteness,4.33,82.18,low_confidence
64,15,complexity,4.20,22.14,low_confidence
64,15,familiarity,1.80,83.66,low_confidence
64,15,semantic_distance,1.06 -> 1.95,70.00,fallback_from:1.06
64,15,semantic_distance,1.95,70.00,low_confidence
65,15,concreteness,1.82,74.87,low_confidence
65,15,complexity,2.18,76.80,low_confidence
65,15,semantic_distance,4.00 -> 1.41,70.00,fallback_from:V4
65,15,semantic_distance,1.41,70.00,low_confidence
65,15,common_response,,92.39,missing_common_response
66,15,semantic_distance,2.67,84.67,low_confidence
67,15,familiarity,2.40,69.99,low_confidence
67,15,name_agreement,45.00,72.05,low_confidence
67,15,common_response,,84.32,missing_common_response
68,15,complexity,1.95,82.61,low_confidence
69,15,complexity,2.35,68.80,low_confidence
69,15,familiarity,2.98,68.99,low_confidence
70,15,concreteness,2.15,78.10,low_confidence
70,15,complexity,2.38,77.66,low_confidence
72,16,common_response,,0.00,missing_common_response
73,16,complexity,2.25,75.34,low_confidence
73,16,semantic_distance,3.12,81.83,low_confidence
73,16,name_agreement,30.00,73.94,low_confidence
74,16,meaningfulness,2.85,77.06,low_confidence
74,16,common_response,,0.00,missing_common_response
75,16,complexity,2.55,77.48,low_confidence
75,16,semantic_distance,3.50,73.11,low_confidence
76,16,meaningfulness,4.20,74.21,low_confidence
77,16,semantic_distance,1.95,80.86,low_confidence
78,16,concreteness,2.25,73.43,low_confidence
78,16,familiarity,1.92,76.60,low_confidence
78,16,meaningfulness,2.16,77.91,low_confidence
78,16,semantic_distance, -> 1.17,70.00,fallback_from:blank
78,16,semantic_distance,1.17,70.00,low_confidence
79,16,concreteness,1.92,84.07,low_confidence
79,16,semantic_distance,2417.00 -> 2.17,70.00,fallback_from:2417
79,16,semantic_distance,2.17,70.00,low_confidence
80,16,semantic_distance,1.92,84.07,low_confidence
81,17,concreteness,2.85,83.24,low_confidence
81,17,complexity,2.85,83.24,low_confidence
81,17,common_response,,0.00,missing_common_response
82,17,common_response,,0.00,missing_common_response
83,17,concreteness,2.40,74.62,low_confidence
83,17,semantic_distance,2.78,70.00,low_confidence
84,17,complexity,3.15,84.87,low_confidence
84,17,semantic_distance,2.43 -> 2.13,70.00,fallback_from:2.43
84,17,semantic_distance,2.13,70.00,low_confidence
84,17,name_agreement,2.50,68.97,low_confidence
84,17,common_response,,0.00,missing_common_response
85,17,familiarity,1.98,83.37,low_confidence
85,17,name_agreement,2.50,76.00,low_confidence
85,17,common_response,,86.13,missing_common_response
86,17,concreteness,2.30,68.93,low_confidence
86,17,meaningfulness,1.77,77.15,low_confidence
86,17,concept_agreement,0.00,75.71,low_confidence
87,17,complexity,2.65,77.85,low_confidence
88,17,familiarity,2.35,69.93,low_confidence
88,17,common_response,,96.16,missing_common_response
89,17,concreteness,2.30,82.34,low_confidence
89,17,familiarity,1.88,80.99,low_confidence
89,17,semantic_distance,1.14,78.49,low_confidence
90,17,name_agreement,52.50,77.42,low_confidence
91,18,meaningfulness,3.95,78.67,low_confidence
91,18,name_agreement,62.50,75.62,low_confidence
91,18,common_response,,0.00,missing_common_response
92,18,name_agreement,50.00,77.44,low_confidence
92,18,common_response,,0.00,missing_common_response
93,18,complexity,2.73,79.70,low_confidence
93,18,concept_agreement,60.00,67.03,low_confidence
93,18,common_response,,0.00,missing_common_response
94,18,concreteness,4.50,76.34,low_confidence
94,18,name_agreement,55.00 -> 50.00,70.00,fallback_from:55.00
94,18,name_agreement,50.00,70.00,low_confidence
94,18,common_response,,0.00,missing_common_response
95,18,meaningfulness,3.35,65.33,low_confidence
96,18,familiarity,4.55,82.47,low_confidence
96,18,name_agreement,80.00,77.27,low_confidence
96,18,common_response,,86.65,missing_common_response
98,18,complexity,4.17,71.83,low_confidence
98,18,familiarity,4.80,79.47,low_confidence
98,18,semantic_distance,2.29,83.74,low_confidence
98,18,name_agreement,3.00 -> 30.00,70.00,fallback_from:3.00
98,18,name_agreement,30.00,70.00,low_confidence
99,18,complexity,2.75,75.51,low_confidence
99,18,meaningfulness,1.70,78.38,low_confidence
101,19,label,Food processing industry,94.95,item_number_not_confirmed
101,19,semantic_distance,2.76,81.10,low_confidence
101,19,name_agreement,4.00,78.17,low_confidence
102,19,concreteness,4.93,73.21,low_confidence
102,19,complexity,3.03,82.50,low_confidence
102,19,semantic_distance,4.83,83.10,low_confidence
102,19,common_response,,0.00,missing_common_response
103,19,semantic_distance,2.31,82.47,low_confidence
104,19,concreteness,4.80,82.38,low_confidence
104,19,common_response,,0.00,missing_common_response
105,19,name_agreement,36.00,69.81,low_confidence
106,19,name_agreement,72.50,70.00,low_confidence
107,19,concreteness,4.35,84.98,low_confidence
107,19,complexity,4.35,72.59,low_confidence
107,19,familiarity,4.95,84.17,low_confidence
107,19,semantic_distance,3.33,75.87,low_confidence
107,19,concept_agreement,55.00,72.53,low_confidence
107,19,common_response,,95.57,missing_common_response
108,19,familiarity,4.05,80.90,low_confidence
108,19,meaningfulness,4.05,81.54,low_confidence
108,19,semantic_distance,3.71,82.36,low_confidence
109,19,common_response,,0.00,missing_common_response
110,19,meaningfulness,2.68,73.48,low_confidence
111,20,concreteness,2.95,83.73,low_confidence
111,20,concept_agreement,7.50,72.75,low_confidence
111,20,name_agreement,15.00,73.74,low_confidence
112,20,familiarity,2.75,73.66,low_confidence
112,20,common_response,,0.00,missing_common_response
113,20,concreteness,4.13,78.40,low_confidence
113,20,familiarity,3.20,65.59,low_confidence
115,20,label,Hierarchy,87.95,item_number_not_confirmed
115,20,concreteness,2.43,84.49,low_confidence
116,20,familiarity,3.85,69.82,low_confidence
118,20,semantic_distance,1.33,70.95,low_confidence
119,20,concreteness,2.10,84.17,low_confidence
119,20,semantic_distance,1.71,70.00,low_confidence
122,21,concreteness,2.30,84.92,low_confidence
122,21,complexity,2.30,84.92,low_confidence
123,21,label,lonising radiation,88.38,item_number_not_confirmed
123,21,complexity,1.53,83.06,low_confidence
123,21,meaningfulness,4.10,78.11,low_confidence
123,21,name_agreement,50.00,72.85,low_confidence
123,21,common_response,,0.00,missing_common_response
124,21,concreteness,2.85,75.99,low_confidence
126,21,familiarity,1.38,68.46,low_confidence
126,21,common_response,,96.39,missing_common_response
127,21,concreteness,4.18,79.41,low_confidence
127,21,familiarity,3.88,79.66,low_confidence
128,21,complexity,4.20,79.17,low_confidence
128,21,common_response,,89.51,missing_common_response
129,21,concreteness,3.28,79.59,low_confidence
129,21,complexity,1.15,77.91,low_confidence
130,21,concreteness,2.93,74.43,low_confidence
130,21,complexity,2.93,74.43,low_confidence
130,21,concept_agreement,0.00,62.71,low_confidence
131,22,label,Library,92.01,item_number_not_confirmed
131,22,semantic_distance,3.40,74.55,low_confidence
131,22,name_agreement,27.50,72.34,low_confidence
131,22,common_response,,0.00,missing_common_response
132,22,common_response,,0.00,missing_common_response
133,22,concept_agreement,0.00,70.02,low_confidence
136,22,concept_agreement,70.00,70.00,low_confidence
136,22,common_response,,95.73,missing_common_response
137,22,concreteness,3.70,74.70,low_confidence
137,22,complexity,1.13,77.61,low_confidence
137,22,common_response,,94.11,missing_common_response
139,22,familiarity,2.95,82.13,low_confidence
139,22,meaningfulness,3.35,80.88,low_confidence
139,22,common_response,,87.05,missing_common_response
140,22,label,Macrobiotics,57.60,item_number_not_confirmed
141,23,meaningfulness,2.40,76.53,low_confidence
141,23,complexity_metric,1 -> 14,70.00,fallback_from:“1
143,23,meaningfulness,4.43,83.57,low_confidence
143,23,common_response,,0.00,missing_common_response
144,23,concreteness,4.20,47.40,low_confidence
144,23,meaningfulness,3.03,81.01,low_confidence
145,23,concreteness,3.48,69.01,low_confidence
145,23,common_response,,95.42,missing_common_response
146,23,concreteness,4.83,75.83,low_confidence
146,23,complexity,2.87,81.64,low_confidence
146,23,familiarity,4.20,82.95,low_confidence
146,23,semantic_distance,4.86,79.74,low_confidence
146,23,common_response,,89.34,missing_common_response
147,23,concreteness,3.28,76.09,low_confidence
148,23,concreteness,2.80,82.89,low_confidence
148,23,common_response,,95.80,missing_common_response
149,23,semantic_distance,1.50,70.66,low_confidence
150,23,common_response,,0.00,missing_common_response
151,24,complexity,2.37,81.22,low_confidence
151,24,concept_agreement,22.50 -> 22.90,70.00,fallback_from:22.50
151,24,concept_agreement,22.90,70.00,low_confidence
151,24,common_response,,0.00,missing_common_response
152,24,complexity,3.25,84.59,low_confidence
152,24,concept_agreement,52.50,76.09,low_confidence
152,24,common_response,,0.00,missing_common_response
153,24,concreteness,2.15,74.18,low_confidence
153,24,complexity,2.73,74.83,low_confidence
