appendix_item,source_page,field,value,confidence,reason
156,24,label,No entry,93.87,item_number_not_confirmed
156,24,concreteness,4.65,78.43,low_confidence
156,24,common_response,,96.41,missing_common_response
157,24,label,No entry,94.29,item_number_not_confirmed
157,24,concreteness,4.43,79.43,low_confidence
157,24,meaningfulness,4.40,79.08,low_confidence
157,24,common_response,,94.58,missing_common_response
158,24,label,No entry,94.08,item_number_not_confirmed
158,24,semantic_distance,1.71,69.05,low_confidence
159,24,name_agreement, -> 10.00,70.00,fallback_from:blank
159,24,name_agreement,10.00,70.00,low_confidence
159,24,common_response,,0.00,missing_common_response
160,24,name_agreement, -> 135.00,70.00,fallback_from:blank
160,24,name_agreement,135.00 -> 15.00,70.00,explicit_ocr_correction
160,24,name_agreement,15.00,70.00,low_confidence
160,24,common_response,,0.00,missing_common_response
162,25,concreteness,4.45,82.97,low_confidence
162,25,semantic_distance,3.95,82.09,low_confidence
162,25,complexity_metric,5,45.93,low_confidence
162,25,name_agreement,47.50,69.09,low_confidence
162,25,common_response,,0.00,missing_common_response
163,25,familiarity,1.83,76.48,low_confidence
163,25,meaningfulness,1.98,75.66,low_confidence
163,25,concept_agreement,9.00,68.28,low_confidence
164,25,familiarity,1.90,70.12,low_confidence
164,25,meaningfulness,1.59,79.42,low_confidence
164,25,name_agreement,5.00,75.82,low_confidence
165,25,concreteness,4.05,81.85,low_confidence
166,25,meaningfulness,1.30,64.20,low_confidence
166,25,common_response,,92.63,missing_common_response
167,25,familiarity,4.85,78.69,low_confidence
168,25,concreteness,3.78,82.14,low_confidence
169,25,familiarity,3.18,83.86,low_confidence
169,25,common_response,,0.00,missing_common_response
170,25,concept_agreement,37.50,65.74,low_confidence
170,25,common_response,,0.00,missing_common_response
171,26,concreteness,2.10,69.18,low_confidence
171,26,complexity,2.10,69.18,low_confidence
171,26,familiarity,4.30,79.72,low_confidence
171,26,common_response,,0.00,missing_common_response
172,26,concept_agreement,57.50,78.12,low_confidence
172,26,name_agreement,57.50,70.91,low_confidence
172,26,common_response,,0.00,missing_common_response
174,26,complexity_metric,1 -> 11,70.00,"fallback_from:1"""
174,26,name_agreement,10.00,76.04,low_confidence
175,26,complexity,1.95,82.40,low_confidence
175,26,meaningfulness,2.03,71.89,low_confidence
177,26,familiarity,2.03,70.93,low_confidence
177,26,name_agreement,5.00,77.77,low_confidence
178,26,concreteness,2.23 -> 2.00,70.00,fallback_from:223
178,26,concreteness,2.00,70.00,low_confidence
181,27,complexity,2.53,71.34,low_confidence
181,27,complexity_metric, -> 25,0.00,explicit_ocr_correction
181,27,complexity_metric,25,0.00,low_confidence
182,27,label,Random Access Memory (RAM),94.74,item_number_not_confirmed
182,27,complexity,3.50,82.04,low_confidence
183,27,common_response,,0.00,missing_common_response
184,27,meaningfulness,3.70,62.07,low_confidence
184,27,semantic_distance,2.43,79.65,low_confidence
185,27,meaningfulness,1.55,82.92,low_confidence
185,27,semantic_distance,1.55,84.89,low_confidence
185,27,common_response,,95.44,missing_common_response
186,27,meaningfulness,3.15,62.90,low_confidence
186,27,concept_agreement,15.00,70.00,low_confidence
186,27,common_response,,96.35,missing_common_response
187,27,familiarity,2.97,70.28,low_confidence
187,27,common_response,,91.48,missing_common_response
189,27,semantic_distance,1.87,74.71,low_confidence
189,27,name_agreement,7.50,73.78,low_confidence
190,27,complexity,1.95,68.20,low_confidence
190,27,complexity_metric,9,48.29,low_confidence
191,28,concreteness,4.83,81.21,low_confidence
191,28,meaningfulness,4.62,74.03,low_confidence
191,28,semantic_distance,4.62,74.03,low_confidence
191,28,name_agreement,77.50,65.55,low_confidence
191,28,common_response,,0.00,missing_common_response
193,28,concreteness,2.17,83.52,low_confidence
193,28,common_response,,0.00,missing_common_response
194,28,concreteness,2412.00 -> 2.12,76.69,explicit_ocr_correction
194,28,concreteness,2.12,76.69,low_confidence
194,28,complexity,3.08,81.50,low_confidence
194,28,familiarity,1.87,80.23,low_confidence
195,28,semantic_distance,4.23,79.35,low_confidence
195,28,common_response,,95.96,missing_common_response
196,28,familiarity,1.58,77.52,low_confidence
196,28,common_response,,91.61,missing_common_response
197,28,familiarity,2.15,77.59,low_confidence
197,28,semantic_distance,2.70,81.31,low_confidence
197,28,concept_agreement, -> 0.00,70.00,fallback_from:blank
197,28,concept_agreement,0.00,70.00,low_confidence
197,28,name_agreement, -> 32.50,70.00,fallback_from:blank
197,28,name_agreement,32.50,70.00,low_confidence
197,28,common_response,,0.00,missing_common_response
198,28,semantic_distance,3.29,84.70,low_confidence
198,28,complexity_metric, -> 21,70.00,fallback_from:blank
198,28,concept_agreement, -> 0.00,70.00,fallback_from:blank
198,28,concept_agreement,0.00,70.00,low_confidence
198,28,name_agreement, -> 65.00,70.00,fallback_from:blank
198,28,name_agreement,65.00,70.00,low_confidence
198,28,common_response,,0.00,missing_common_response
199,28,label,Search,0.00,item_number_not_confirmed
199,28,concreteness, -> 2.98,70.00,fallback_from:blank
199,28,concreteness,2.98 -> 4.62,70.00,explicit_ocr_correction
199,28,concreteness,4.62,70.00,low_confidence
199,28,complexity, -> 3.65,70.00,fallback_from:blank
199,28,complexity,3.65 -> 2.58,70.00,explicit_ocr_correction
199,28,complexity,2.58,70.00,low_confidence
199,28,familiarity, -> 3.79,70.00,fallback_from:blank
199,28,familiarity,3.79 -> 3.65,70.00,explicit_ocr_correction
199,28,familiarity,3.65,70.00,low_confidence
199,28,meaningfulness, -> 2.43,70.00,fallback_from:blank
199,28,meaningfulness,2.43 -> 3.75,70.00,explicit_ocr_correction
199,28,meaningfulness,3.75,70.00,low_confidence
199,28,semantic_distance, -> 4.00,70.00,fallback_from:blank
199,28,semantic_distance,4.00 -> 2.43,70.00,explicit_ocr_correction
199,28,semantic_distance,2.43,70.00,low_confidence
199,28,complexity_metric, -> 0,70.00,fallback_from:blank
199,28,complexity_metric,0 -> 4,70.00,explicit_ocr_correction
199,28,concept_agreement, -> 70.00,70.00,fallback_from:blank
199,28,concept_agreement,70.00 -> 0.00,70.00,explicit_ocr_correction
199,28,concept_agreement,0.00,70.00,low_confidence
199,28,name_agreement, -> 70.00,0.00,explicit_ocr_correction
199,28,name_agreement,70.00,0.00,low_confidence
200,28,label,Select irregular area,0.00,item_number_not_confirmed
200,28,concreteness, -> 2.85,70.00,fallback_from:blank
200,28,concreteness,2.85 -> 2.20,70.00,explicit_ocr_correction
200,28,concreteness,2.20,70.00,low_confidence
200,28,complexity, -> 2.28,70.00,fallback_from:blank
200,28,complexity,2.28 -> 2.85,70.00,explicit_ocr_correction
200,28,complexity,2.85,70.00,low_confidence
200,28,familiarity, -> 1.88,70.00,fallback_from:blank
200,28,familiarity,1.88 -> 2.28,70.00,explicit_ocr_correction
200,28,familiarity,2.28,70.00,low_confidence
200,28,meaningfulness, -> 1.79,70.00,fallback_from:blank
200,28,meaningfulness,1.79 -> 1.88,70.00,explicit_ocr_correction
200,28,meaningfulness,1.88,70.00,low_confidence
200,28,semantic_distance, -> 1.00,70.00,fallback_from:blank
200,28,semantic_distance,1.00 -> 1.79,70.00,explicit_ocr_correction
200,28,semantic_distance,1.79,70.00,low_confidence
200,28,complexity_metric, -> 0,70.00,fallback_from:blank
200,28,complexity_metric,0 -> 10,70.00,explicit_ocr_correction
200,28,concept_agreement, -> 20.00,70.00,fallback_from:blank
200,28,concept_agreement,20.00 -> 0.00,70.00,explicit_ocr_correction
200,28,concept_agreement,0.00,70.00,low_confidence
200,28,name_agreement, -> 20.00,0.00,explicit_ocr_correction
200,28,name_agreement,20.00,0.00,low_confidence
201,29,complexity,3.12,79.63,low_confidence
202,29,familiarity,3.45,80.06,low_confidence
203,29,concreteness,2.95,76.42,low_confidence
203,29,complexity,4.30,83.32,low_confidence
203,29,semantic_distance,1.50,80.01,low_confidence
203,29,complexity_metric, -> 41,70.00,fallback_from:blank
203,29,name_agreement,12.50,73.30,low_confidence
204,29,concreteness,4.35,75.64,low_confidence
205,29,concreteness,2.75,85.00,low_confidence
205,29,common_response,,95.65,missing_common_response
206,29,concept_agreement,0.00,70.00,low_confidence
207,29,common_response,,95.87,missing_common_response
208,29,name_agreement,7.50,68.49,low_confidence
210,29,concreteness,1.95,81.40,low_confidence
210,29,familiarity,1.52,82.61,low_confidence
210,29,common_response,,95.50,missing_common_response
211,30,semantic_distance,3.45,83.15,low_confidence
212,30,concept_agreement,72.50 -> 12.50,70.00,fallback_from:72.50
212,30,concept_agreement,12.50,70.00,low_confidence
212,30,name_agreement,72.50,72.40,low_confidence
212,30,common_response,,0.00,missing_common_response
213,30,familiarity,3.30,84.03,low_confidence
213,30,semantic_distance,2.69,82.34,low_confidence
214,30,complexity,4.18,73.52,low_confidence
214,30,meaningfulness,4.25,67.91,low_confidence
214,30,common_response,,0.00,missing_common_response
215,30,complexity,2.75,79.50,low_confidence
216,30,semantic_distance,2.95,84.28,low_confidence
216,30,common_response,,94.85,missing_common_response
217,30,complexity,2.85,80.88,low_confidence
217,30,name_agreement,0.00 -> 30.00,70.00,fallback_from:$0.00
217,30,name_agreement,30.00,70.00,low_confidence
217,30,common_response,,64.17,missing_common_response
218,30,familiarity,3.95 -> 3.60,70.00,fallback_from:3.95
218,30,familiarity,3.60,70.00,low_confidence
219,30,familiarity,1.98,75.41,low_confidence
219,30,meaningfulness,2.35,82.94,low_confidence
220,30,complexity_metric,9,63.49,low_confidence
220,30,common_response,,0.00,missing_common_response
221,31,meaningfulness,2.75,77.74,low_confidence
222,31,name_agreement,47.50,69.35,low_confidence
223,31,name_agreement,47.50,79.00,low_confidence
223,31,common_response,,0.00,missing_common_response
225,31,meaningfulness,3.85,75.23,low_confidence
225,31,name_agreement, -> 9.00,70.00,fallback_from:blank
225,31,name_agreement,9.00,70.00,low_confidence
225,31,common_response,,0.00,missing_common_response
226,31,concept_agreement, -> 2.50,0.00,explicit_ocr_correction
226,31,concept_agreement,2.50,0.00,low_confidence
226,31,name_agreement, -> 27.50,0.00,explicit_ocr_correction
226,31,name_agreement,27.50,0.00,low_confidence
226,31,common_response,,0.00,missing_common_response
227,31,label,Vertebrates,0.00,item_number_not_confirmed
227,31,concreteness, -> 2.80,70.00,fallback_from:blank
227,31,concreteness,2.80,70.00,low_confidence
227,31,complexity, -> 1.55,70.00,fallback_from:blank
227,31,complexity,1.55,70.00,low_confidence
227,31,familiarity, -> 2.49,70.00,fallback_from:blank
227,31,familiarity,2.49 -> 2.45,70.00,explicit_ocr_correction
227,31,familiarity,2.45,70.00,low_confidence
227,31,meaningfulness, -> 2.00,70.00,fallback_from:blank
227,31,meaningfulness,2.00 -> 2.55,70.00,explicit_ocr_correction
227,31,meaningfulness,2.55,70.00,low_confidence
227,31,semantic_distance, -> 2.12,70.00,fallback_from:blank
227,31,semantic_distance,2.12,70.00,low_confidence
227,31,complexity_metric, -> 1,70.00,fallback_from:blank
227,31,concept_agreement, -> 0.00,70.00,fallback_from:blank
227,31,concept_agreement,0.00,70.00,low_confidence
227,31,name_agreement, -> 62.50,70.00,fallback_from:blank
227,31,name_agreement,62.50,70.00,low_confidence
228,31,label,Vibrate,0.00,item_number_not_confirmed
228,31,concreteness, -> 2.02,70.00,fallback_from:blank
228,31,concreteness,2.02,70.00,low_confidence
228,31,complexity, -> 2.40,70.00,fallback_from:blank
228,31,complexity,2.40,70.00,low_confidence
228,31,familiarity, -> 1.80,70.00,fallback_from:blank
228,31,familiarity,1.80,70.00,low_confidence
228,31,meaningfulness, -> 1.57,70.00,fallback_from:blank
228,31,meaningfulness,1.57,70.00,low_confidence
228,31,semantic_distance, -> 2.46,70.00,fallback_from:blank
228,31,semantic_distance,2.46 -> 2.76,70.00,explicit_ocr_correction
228,31,semantic_distance,2.76,70.00,low_confidence
228,31,complexity_metric, -> 7,70.00,fallback_from:blank
228,31,concept_agreement, -> 2.00,70.00,fallback_from:blank
228,31,concept_agreement,2.00 -> 5.00,70.00,explicit_ocr_correction
228,31,concept_agreement,5.00,70.00,low_confidence
228,31,name_agreement, -> 7.00,70.00,fallback_from:blank
228,31,name_agreement,7.00 -> 7.50,70.00,explicit_ocr_correction
228,31,name_agreement,7.50,70.00,low_confidence
229,31,label,Video camera,0.00,item_number_not_confirmed
229,31,concreteness, -> 3.08,70.00,fallback_from:blank
229,31,concreteness,3.08 -> 4.83,70.00,explicit_ocr_correction
229,31,concreteness,4.83,70.00,low_confidence
229,31,complexity, -> 3.28,0.00,explicit_ocr_correction
229,31,complexity,3.28,0.00,low_confidence
229,31,familiarity, -> 3.60,70.00,fallback_from:blank
229,31,familiarity,3.60 -> 3.90,70.00,explicit_ocr_correction
229,31,familiarity,3.90,70.00,low_confidence
229,31,meaningfulness, -> 3.92,0.00,explicit_ocr_correction
229,31,meaningfulness,3.92,0.00,low_confidence
229,31,semantic_distance, -> 4.69,0.00,explicit_ocr_correction
229,31,semantic_distance,4.69,0.00,low_confidence
229,31,complexity_metric, -> 9,0.00,explicit_ocr_correction
229,31,complexity_metric,9,0.00,low_confidence
229,31,concept_agreement, -> 57.50,0.00,explicit_ocr_correction
229,31,concept_agreement,57.50,0.00,low_confidence
229,31,name_agreement, -> 57.50,0.00,explicit_ocr_correction
229,31,name_agreement,57.50,0.00,low_confidence
229,31,common_response,,0.00,missing_common_response
230,31,label,Wall,0.00,item_number_not_confirmed
230,31,concreteness, -> 3.95,0.00,explicit_ocr_correction
230,31,concreteness,3.95,0.00,low_confidence
230,31,complexity, -> 3.00,70.00,fallback_from:blank
230,31,complexity,3.00 -> 2.78,70.00,explicit_ocr_correction
230,31,complexity,2.78,70.00,low_confidence
230,31,familiarity, -> 3.43,70.00,fallback_from:blank
230,31,familiarity,3.43 -> 3.00,70.00,explicit_ocr_correction
230,31,familiarity,3.00,70.00,low_confidence
230,31,meaningfulness, -> 3.13,0.00,explicit_ocr_correction
230,31,meaningfulness,3.13,0.00,low_confidence
230,31,semantic_distance, -> 4.40,0.00,explicit_ocr_correction
230,31,semantic_distance,4.40,0.00,low_confidence
230,31,complexity_metric, -> 12,0.00,explicit_ocr_correction
230,31,complexity_metric,12,0.00,low_confidence
230,31,concept_agreement, -> 60.00,0.00,explicit_ocr_correction
230,31,concept_agreement,60.00,0.00,low_confidence
230,31,name_agreement, -> 0.00,70.00,fallback_from:blank
230,31,name_agreement,0.00 -> 60.00,70.00,explicit_ocr_correction
230,31,name_agreement,60.00,70.00,low_confidence
230,31,common_response,,0.00,missing_common_response
231,32,familiarity,2.90,83.77,low_confidence
231,32,meaningfulness,2.18,71.19,low_confidence
232,32,meaningfulness,2.40,76.47,low_confidence
232,32,complexity_metric,1 -> 4,70.00,fallback_from:1
233,32,concreteness,4.58,80.40,low_confidence
234,32,familiarity,2.05,77.96,low_confidence
234,32,name_agreement,15.00,78.20,low_confidence
234,32,common_response,,96.44,missing_common_response
235,32,familiarity,2.83,71.58,low_confidence
235,32,meaningfulness,2.40,79.70,low_confidence
235,32,semantic_distance,4.48,68.60,low_confidence
235,32,common_response,,95.66,missing_common_response
236,32,common_response,,92.87,missing_common_response
237,32,name_agreement,35.00,76.40,low_confidence
238,32,familiarity,1.60 -> 1.95,70.00,fallback_from:16
238,32,familiarity,1.95,70.00,low_confidence
239,32,familiarity,1.73,65.30,low_confidence
